NAME,TEAM,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IB,HBP,SO,SF,SH,GDP,SB,CS,AVG
이정훈,Tigers,41,151,129,32,24,6,0,2,14,14,19,0,3,33,0,0,3,0,0,0.248
라모스,Twins,51,205,185,45,29,7,1,8,14,25,18,0,2,43,0,0,2,0,0,0.243
최형우,Tigers,104,446,373,87,59,15,1,12,52,55,67,10,4,67,2,2,9,0,0,0.233
유민상,Tigers,24,74,60,14,11,2,0,1,7,6,8,0,6,18,0,0,1,0,0,0.233
정현,Dinos,56,120,96,22,18,3,1,0,9,7,14,0,4,20,0,6,6,0,1,0.229
정현,Landers,12,29,21,4,2,2,0,0,5,0,3,0,3,4,0,2,1,0,0,0.190
손성빈,Giants,20,22,19,6,6,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0.316
강한울,Lions,124,258,223,58,53,5,0,0,25,27,29,0,0,58,3,6,5,2,2,0.260
남태혁,Landers,12,22,20,6,4,1,0,1,2,4,1,0,1,7,0,0,1,0,0,0.300
이재원,Twins,62,171,154,38,27,6,0,5,22,17,14,0,2,48,1,1,2,5,1,0.247
신본기,Wiz,96,206,174,41,32,8,0,1,25,19,22,0,4,45,1,6,6,1,2,0.236
정범모,Dinos,19,23,19,4,2,1,0,1,2,5,2,0,1,4,0,1,2,0,0,0.211
박지훈,Bears,34,14,12,4,3,1,0,0,6,2,1,0,1,3,0,0,0,3,1,0.333
최항,Landers,34,79,69,19,16,2,1,0,5,7,6,1,2,16,1,2,4,1,0,0.275
박준영,Dinos,111,315,273,57,40,7,2,8,37,31,27,0,10,92,2,5,9,4,3,0.209
전민수,Dinos,71,109,98,25,19,3,0,3,12,16,11,1,0,23,0,0,2,0,0,0.255
김민수,Giants,82,224,199,48,33,11,1,3,19,25,18,0,3,62,1,4,4,0,0,0.241
천성호,Wiz,41,47,42,12,11,1,0,0,13,4,3,0,2,9,0,0,0,1,0,0.286
전병우,Heroes,115,261,214,40,26,8,0,6,35,31,33,0,9,84,1,5,0,3,1,0.187
이병규,Giants,29,43,34,8,8,0,0,0,4,4,8,0,1,14,0,0,2,0,0,0.235
박준태,Heroes,27,58,46,9,6,3,0,0,10,4,10,0,2,16,0,0,0,1,0,0.196
최정민,Tigers,39,19,15,5,5,0,0,0,5,1,3,0,1,7,0,0,1,2,3,0.333
김용의,Twins,102,42,27,4,2,2,0,0,19,2,10,0,0,5,1,5,1,6,0,0.148
오윤석,Giants,33,76,69,16,7,7,0,2,9,5,7,1,0,21,0,0,2,2,0,0.232
신성현,Bears,11,15,11,2,2,0,0,0,3,0,3,0,1,6,0,0,0,0,0,0.182
최인호,Eagles,49,164,136,28,18,6,0,4,17,23,24,0,2,43,2,2,1,2,1,0.206
정보근,Giants,11,20,18,5,5,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0.278
김찬형,Landers,71,135,110,22,14,6,0,2,18,6,14,0,3,27,0,8,1,0,0,0.200
장두성,Giants,43,41,36,8,5,2,1,0,12,4,5,0,0,12,0,0,0,4,2,0.222
김준태,Wiz,11,18,17,2,2,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0.118
이상호,Twins,45,68,65,20,18,2,0,0,5,12,1,0,0,10,0,2,2,2,1,0.308
김은성,Heroes,6,18,18,5,2,3,0,0,1,2,0,0,0,6,0,0,0,0,0,0.278
