Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
이형종,Twins,31,81,287,323,85,49,17,2,17,41,50,27,1,61,7,2,0,7,1,0,0.29616725
김용의,Twins,34,101,70,75,19,16,1,1,1,28,12,3,0,15,0,1,1,2,7,3,0.27142857
김재환,Bears,31,140,516,614,137,80,26,1,30,82,113,91,3,154,1,6,0,14,6,0,0.26550388
최재훈,Eagles,30,126,339,389,102,80,19,0,3,46,36,29,0,44,16,0,5,7,0,0,0.30088496
장성우,Wiz,30,130,400,455,111,83,15,0,13,39,79,38,0,64,1,6,10,15,0,0,0.2775
김선빈,Tigers,30,85,303,351,100,80,19,0,1,42,37,40,0,43,2,5,1,12,1,1,0.330033
나지완,Tigers,35,137,468,556,136,99,19,1,17,73,92,64,1,114,18,6,0,6,0,0,0.29059829
백용환,Tigers,31,52,91,107,20,11,4,0,5,12,10,15,0,29,0,0,1,2,0,0,0.21978022
오선진,Eagles,30,93,197,222,46,40,4,0,2,17,17,16,0,39,3,0,6,10,0,1,0.23350254
모창민,Dinos,35,62,136,149,41,27,10,2,2,10,13,8,1,22,1,2,2,5,0,0,0.30147059
오지환,Twins,30,141,527,591,158,100,41,7,10,95,71,45,1,116,9,5,5,4,20,8,0.29981025
정주현,Twins,29,134,328,371,81,63,10,4,4,50,30,29,0,63,3,2,9,6,7,7,0.24695122
채은성,Twins,30,109,416,464,122,88,17,2,15,59,88,32,1,69,9,7,0,12,0,3,0.29326923
박건우,Bears,29,129,487,551,148,94,40,0,14,103,70,42,2,65,12,7,3,9,8,2,0.30390144
정수빈,Bears,29,141,490,559,146,116,17,8,5,84,59,55,3,56,2,5,7,9,15,6,0.29795918
국해성,Bears,30,46,86,94,20,16,1,0,3,10,17,6,2,21,1,1,0,2,1,1,0.23255814
장영석,Tigers,30,11,31,37,4,4,0,0,0,1,2,4,0,7,1,1,0,3,0,0,0.12903226
박동원,Heroes,30,112,324,372,81,46,23,0,12,45,50,38,0,68,6,2,2,10,0,0,0.25
이지영,Heroes,34,101,262,289,81,69,10,2,0,22,36,19,1,28,4,1,3,8,1,1,0.30916031
안치홍,Giants,29,124,412,460,118,82,28,0,8,49,54,35,2,47,7,2,4,10,13,3,0.28640777
김회성,Eagles,34,15,18,25,3,2,1,0,0,1,1,3,0,6,1,1,2,2,0,0,0.16666667
정보근,Giants,20,85,133,152,20,18,2,0,0,9,5,11,0,32,1,1,6,7,0,0,0.15037594
양우현,Lions,20,7,23,24,3,3,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0.13043478
강현우,Wiz,19,26,30,32,6,3,2,0,1,2,3,2,0,11,0,0,0,1,0,0,0.2
안권수,Bears,27,68,37,41,10,10,0,0,0,10,3,2,0,5,0,1,1,1,2,1,0.27027027
김지찬,Lions,19,135,254,287,59,52,5,1,1,47,13,24,0,44,2,2,5,1,21,4,0.23228346
최지훈,Wyverns,22,127,466,520,120,95,19,5,1,66,27,38,0,80,5,3,8,4,18,6,0.25751073
최정원,Dinos,20,49,40,48,11,7,3,1,0,18,2,7,0,13,0,0,1,1,4,0,0.275
김규성,Tigers,23,102,157,182,28,22,2,1,3,21,12,13,0,40,1,0,11,1,2,1,0.17834395
변상권,Heroes,23,35,63,65,17,11,5,0,1,7,16,1,0,20,0,1,0,3,0,0,0.26984127
노태형,Eagles,25,55,102,113,22,17,4,1,0,14,6,7,0,31,3,0,1,0,0,1,0.21568627
조한민,Eagles,19,25,50,52,11,7,4,0,0,7,2,0,0,22,2,0,0,0,0,0,0.22
천성호,Wiz,22,66,69,77,14,11,3,0,0,9,1,7,0,15,1,0,0,0,1,1,0.20289855
양찬열,Bears,23,17,22,26,5,5,0,0,0,5,3,3,0,2,1,0,0,0,0,0,0.22727273
권민석,Bears,21,55,50,57,13,11,2,0,0,6,7,3,0,15,0,2,2,0,1,0,0.26
최인호,Eagles,20,47,127,135,30,30,0,0,0,8,8,4,0,34,1,2,1,3,0,0,0.23622047
박정현,Eagles,18,30,61,64,17,13,3,0,1,6,9,3,0,17,0,0,0,2,0,0,0.27868852
김호은,Twins,28,69,103,112,25,18,5,0,2,12,11,7,0,14,2,0,0,2,0,0,0.24271845
김수환,Heroes,22,9,11,12,2,1,1,0,0,1,2,1,0,5,0,0,0,1,0,0,0.18181818
이거연,Wyverns,23,8,8,10,1,1,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0.125
이재원,Twins,20,16,20,22,1,1,0,0,0,1,0,2,0,11,0,0,0,0,0,0,0.05
홍종표,Tigers,20,40,80,88,20,17,3,0,0,7,7,4,0,13,0,1,3,1,0,2,0.25
박주홍,Heroes,19,13,24,25,6,4,2,0,0,0,1,1,0,10,0,0,0,0,0,1,0.25
임종찬,Eagles,18,52,108,119,25,19,5,0,1,5,12,9,0,38,1,0,1,2,0,1,0.23148148
정기훈,Eagles,25,29,31,36,5,3,2,0,0,9,2,3,0,15,2,0,0,0,0,1,0.16129032
팔카,Lions,28,51,196,217,41,26,7,0,8,17,23,18,0,58,0,3,0,5,2,0,0.20918367
김성민,Wyverns,19,9,14,16,4,2,0,0,2,4,4,1,0,3,1,0,0,0,0,0,0.28571429
김헌곤,Lions,31,97,254,283,63,52,8,0,3,26,34,22,0,31,3,3,1,7,7,5,0.2480315
신본기,Giants,31,81,106,123,23,20,1,0,2,18,12,14,0,22,1,1,1,3,1,0,0.21698113
송우현,Heroes,23,14,12,15,0,0,0,0,0,3,0,2,0,4,1,0,0,0,0,0,0
전병우,Heroes,27,118,358,401,85,61,13,3,8,46,48,37,0,100,2,2,2,6,7,0,0.23743017
김주형,Heroes,24,39,43,50,10,6,3,0,1,8,6,4,0,10,2,0,1,0,0,1,0.23255814
김태균,Eagles,38,67,219,254,48,35,11,0,2,14,29,30,3,42,2,2,1,8,0,0,0.21917808
박용택,Twins,41,97,217,236,65,48,15,0,2,22,35,15,1,34,0,4,0,7,2,0,0.29953917
이택근,Heroes,39,20,57,64,11,6,5,0,0,5,7,7,0,21,0,0,0,1,0,0,0.19298246
이용규,Eagles,34,120,419,487,120,103,14,2,1,60,32,59,0,36,6,1,2,9,17,8,0.28639618
김재호,Bears,35,120,402,458,116,98,15,1,2,48,39,45,1,45,4,5,2,17,6,2,0.28855721
박석민,Dinos,35,123,356,448,109,80,15,0,14,58,63,75,2,62,10,4,2,11,0,1,0.30617978
강민호,Lions,34,119,355,393,102,69,14,0,19,46,61,31,2,54,4,3,0,17,0,0,0.28732394
최정,Wyverns,33,133,452,553,122,67,22,0,33,90,96,75,1,98,20,6,0,7,6,3,0.2699115
양의지,Dinos,33,130,461,528,151,91,26,1,33,86,124,46,7,47,14,6,1,11,4,2,0.32754881
민병헌,Giants,33,109,309,342,72,58,12,0,2,42,23,21,1,62,5,2,5,12,10,5,0.23300971
오재원,Bears,35,85,155,174,36,23,7,1,5,25,27,16,0,49,0,2,1,3,10,4,0.23225806
손아섭,Giants,32,141,540,611,190,136,43,0,11,98,85,61,4,56,2,7,1,9,5,0,0.35185185
김태군,Dinos,30,80,113,131,33,26,6,0,1,16,18,6,0,14,4,1,7,3,0,0,0.2920354
서건창,Heroes,30,135,484,595,134,96,28,5,5,79,52,91,1,58,5,10,5,8,24,10,0.2768595
전준우,Giants,34,143,562,628,157,96,34,1,26,95,96,52,0,79,8,3,3,21,5,5,0.27935943
허경민,Bears,29,117,437,487,145,112,25,1,7,70,58,35,2,28,5,7,3,10,15,6,0.33180778
김상수,Lions,30,120,404,471,123,97,18,3,5,71,47,55,1,55,8,2,2,15,10,3,0.30445545
남태혁,Wyverns,29,35,66,72,13,11,1,0,1,3,11,6,0,22,0,0,0,1,0,0,0.1969697
이학주,Lions,29,64,207,243,47,32,11,0,4,30,28,26,1,58,2,5,3,3,6,2,0.22705314
로하스,Wiz,30,142,550,628,192,105,39,1,47,116,135,65,5,132,5,8,0,11,0,1,0.34909091
김동엽,Lions,29,115,413,451,129,90,19,0,20,60,74,29,0,79,4,4,1,14,4,4,0.31234867
라모스,Twins,25,117,431,494,120,63,17,2,38,74,86,55,5,136,4,4,0,7,2,0,0.27842227
손호영,Twins,25,44,60,62,22,18,4,0,0,18,6,2,0,12,0,0,0,2,10,0,0.36666667
